"","Date","USA_Revenue","Brazilian_Revenue","Japanese_Revenue","German_Revenue","French_Revenue","Value","Uk_Revenue","Italian_Revenue","Russian_Revenue","Indian_Revenue"
"1",2021-12-31,67238.336,21733.207,44574.027,55567.687,48356.09,17148.409,49816.113,41197.759,29517.939,9837.163
"2",2020-12-31,65161.465,20189.719,43172.916,53804.853,47199.532,16576.379,48099.974,40160.97,28495.653,9060.174
"3",2019-12-31,63147.859,18751.536,41815.397,52058.419,45635.057,16024.636,46444.559,39104.927,27502.445,8350.959
"4",2018-12-31,61053.668,17404.894,40482.872,50355.748,44118.321,15495.59,44814.404,38010.741,26527.233,7691.709
"5",2017-12-31,58952.025,16171.986,39378.941,48835.998,42799.5,15138.98,43267.778,36989.914,25740.366,7098.05
"6",2016-12-31,57220.196,15095.207,38731.328,47535.625,41867.918,15048.629,42041.279,36191.133,25185.531,6598.97
"7",2015-12-31,55805.204,14107.431,38054.203,46893.168,41180.697,15614.528,41158.909,35708.311,25410.917,6161.617
"8",2014-12-31,54360.499,13130.869,37442.241,46160.189,40498.367,16211.569,40163.299,35094.996,26138.042,5758.316
"9",2013-12-31,52615.337,12102.564,36787.007,44945.636,39949.863,16070.66,38723.664,35283.737,25986.826,5352.1
"10",2012-12-31,51385.486,11111.596,35651.061,44179.103,39251.05,15488.045,37520.682,35508.649,25317.569,5003.373
"11",2011-12-31,49725.504,10180.859,34331.663,43220.709,38657.22,15061.544,36654.344,35895.627,24067.77,4749.192
"12",2010-12-31,48309.529,9156.881,33853.419,40117.587,37284.251,14339.548,35797.003,35071.105,22632.373,4445.174
"13",2009-12-31,46909.422,8218.178,31950.943,38105.391,36297.357,13307.586,35093.412,34182.597,21410.554,4040.566
"14",2008-12-31,48302.283,7505.528,33528.017,39949.197,37313.106,13362.885,36586.088,36105.389,23068.28,3747.544
"15",2007-12-31,47954.532,6750.569,33212.172,38765.709,36724.648,12606.758,36294.067,36050.429,21481.307,3587.186
"16",2006-12-31,46351.667,5787.795,31660.106,36482.128,35172.584,11708.513,34690.78,34701.046,19279.016,3227.357
"17",2005-12-31,44218.306,5008.848,30203.572,34021.902,33571.061,11055.603,32973.922,33112.347,17245.915,2906.825
"18",2004-12-31,41838.455,4385.797,28889.801,32649.668,32252.237,10505.77,31220.424,31987.843,15641.296,2615.847
"19",2003-12-31,39591.865,3899.687,27489.685,31542.11,30743.205,9790.34,29791.503,30842.947,14154.247,2397.562
"20",2002-12-31,38113.892,3496.807,26554.313,31152.039,30105.513,9615.448,28376.971,30270.041,12871.483,2211.336
"21",2001-12-31,37241.347,3177.108,26132.29,30711.896,29529.831,9314.418,27362.886,29752.447,12080.112,2128.126
"22",2000-12-31,36432.514,2888.255,25519.918,29548.895,28514.844,9108.08,26135.495,28601.612,11154.256,2018.916
"23",1999-12-31,34601.722,2624.987,24448.43,28029.959,27006.283,8768.578,24703.578,26971.725,9870.036,1934.244
"24",1998-12-31,32929.038,2422.547,24173.513,27149.057,25810.013,8725.451,23681.044,26159.329,9103.551,1788.645
"25",1997-12-31,31553.622,2243.549,24468.259,26382.371,24733.754,8732.525,22724.247,25479.5,9495.082,1698.166
"26",1996-12-31,30047.314,2040.362,23735.015,25468.248,23835.85,8430.082,21726.053,24613.027,9177.014,1635.47
"27",1995-12-31,28762.676,1842.374,22766.46,24857.621,23161.487,8224.98,20831.995,23864.802,9349.847,1522.197
"28",1994-12-31,27755.764,1643.13,21932.38,23997.56,22297.308,7836.701,19960.548,22853.342,9537.54,1413.256
"29",1993-12-31,26441.648,1438.534,21350.572,22974.721,21405.119,7400.438,18836.696,21913.853,10704.543,1323.329
"30",1992-12-31,25466.828,1247.804,20886.264,22764.504,21131.884,7017.437,17966.788,21614.838,11436.728,1260.722
