"","Date","USA_Pop","Chinese_Pop","Japanese_Pop","German_Pop","French_Pop","Brazil_Pop","Uk_Pop","Italian_Pop","Russian_Pop","Indian_Pop"
"1",2021-12-31,338.582,1416.136,123.917,83.392,66.723,213.441,67.781,62.168,146.3,1398.162
"2",2020-12-31,335.682,1409.13,124.541,83.379,65.763,212.078,67.36,61.961,146.3,1380.007
"3",2019-12-31,332.807,1402.16,125.088,83.363,65.461,210.659,66.928,61.757,146.3,1362.087
"4",2018-12-31,329.956,1395.224,125.619,83.257,65.162,209.187,66.487,61.555,146.3,1344.401
"5",2017-12-31,327.13,1388.322,126.105,83.007,64.865,207.661,66.03,61.353,146.3,1326.944
"6",2016-12-31,324.328,1381.454,126.541,82.773,64.569,206.082,65.572,61.151,146.3,1309.713
"7",2015-12-31,321.601,1374.62,126.926,81.9,64.275,204.451,65.097,60.796,146.3,1292.707
"8",2014-12-31,319.13,1367.82,127.12,81.198,63.982,202.769,64.597,60.783,146.3,1275.921
"9",2013-12-31,316.698,1360.72,127.333,80.767,63.698,201.033,64.087,59.685,143.7,1259.353
"10",2012-12-31,314.393,1354.04,127.552,80.524,63.376,199.242,63.705,59.394,143.3,1243
"11",2011-12-31,312.072,1347.35,127.831,80.328,63.07,197.397,63.285,59.365,143,1217.438
"12",2010-12-31,309.761,1340.91,127.594,81.752,62.765,195.498,62.262,59.19,142.9,1195.063
"13",2009-12-31,307.374,1334.5,127.551,81.802,62.466,193.544,61.792,59.001,142.8,1178
"14",2008-12-31,304.718,1328.02,127.692,82.002,62.135,191.532,61.398,58.653,142.7,1162
"15",2007-12-31,301.903,1321.29,127.757,82.218,61.795,189.463,60.986,58.224,142.8,1146
"16",2006-12-31,298.93,1314.48,127.746,82.315,61.4,187.335,60.584,58.064,142.8,1130
"17",2005-12-31,296.115,1307.56,127.752,82.438,60.963,185.151,60.235,57.875,143.2,1114
"18",2004-12-31,293.389,1299.88,127.734,82.501,60.505,182.911,59.842,57.496,143.8,1097.438
"19",2003-12-31,290.733,1292.27,127.634,82.532,60.102,180.619,59.552,57.131,144.3,1080.5
"20",2002-12-31,288.019,1284.53,127.4,82.537,59.686,178.276,59.319,56.988,145,1064.063
"21",2001-12-31,285.216,1276.27,127.132,82.44,59.267,175.885,59.113,56.961,145.2,1048
"22",2000-12-31,282.296,1267.43,126.831,82.26,58.858,173.448,58.886,56.924,146.3,1029.188
"23",1999-12-31,279.195,1257.86,126.587,82.163,58.497,168.754,58.684,56.909,146.9,1010.188
"24",1998-12-31,276.022,1247.61,126.349,82.037,58.299,166.252,58.475,56.904,147.5,992
"25",1997-12-31,272.822,1236.26,126.011,82.057,58.116,163.78,58.314,56.876,147.8,973.438
"26",1996-12-31,269.581,1223.89,125.711,82.012,57.936,161.323,58.164,56.844,148.3,955.063
"27",1995-12-31,266.458,1211.21,125.436,81.817,57.753,158.875,58.025,56.844,148.3,937
"28",1994-12-31,263.325,1198.5,125.116,81.539,57.565,156.431,57.862,56.842,148.5,919
"29",1993-12-31,260.146,1185.17,124.77,81.338,57.369,153.986,57.714,56.821,148.4,901
"30",1992-12-31,256.777,1171.71,124.367,80.975,57.111,151.547,57.585,56.773,148.6,881.875
"31",1991-12-31,253.392,1158.23,123.928,80.275,56.841,149.094,57.439,56.744,148.3,864.25
"32",1990-12-31,250.047,1143.33,123.438,79.246,56.577,146.593,57.237,56.694,147.7,847.438
"33",1989-12-31,247.286,1127.04,123.028,77.755,56.27,142.307,57.076,56.649,147,830.5
